PAM50 mRNA,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56
Luminal_A,1.174339071,-1.18225043,0.288990529,1.256798004,-2.540652849,0.618826261,0.184831878,-1.525105992,0.167472102,1.391336263,2.064027557,0.319370136,0.26729081,-2.566692512,-0.778635653,0.306350305,0.011234124,2.068367501,-0.609377844,2.259325029,0.280310642,-0.101604415,-0.023485426,0.501647777,1.044140756,0.866203059,0.111052832,0.770724295,0.23257126,-1.264709362,-0.813355204,2.476322221,1.130939633,0.319370136,-1.494726385,0.857523171,-1.68134397,-1.256029475,-1.173570542,-0.305581775,0.145772383,0.479948058,-0.787315541,-3.265423469,-0.288222,1.213398566,-0.652777282,-0.535598799,-0.444459978,-0.474839585,-2.527633018,0.024253956,5.162747453,1.608333454,0.549387159,-1.946080544
Basal_like,-3.051663989,0.533877202,3.718570038,-0.82332589,0.918944125,-0.195224924,-1.18629881,-0.476134402,-0.173130921,-0.349882951,1.717484549,1.65751511,-2.660284493,-3.099008283,-1.009546779,0.189841999,0.795848961,1.689077973,-0.734949875,3.497629999,-0.867513898,-0.075286047,-0.094223764,0.353968885,0.922100412,-1.322019119,0.293999446,-1.871212928,1.518638515,-1.533490299,-1.407238848,-0.488759547,-0.416164963,0.647503507,-0.252038077,0.192998286,-3.291541745,-0.889607902,0.224561148,0.808474106,-1.640804031,1.275604473,0.139341419,-3.307323176,-3.433574627,-1.407238848,-0.741262447,0.742192095,-2.969600547,-1.009546779,-2.4519696,0.275061728,2.61071356,-2.256279852,2.187771202,0.937881843
Luminal_A,0.783302743,-0.408634834,-3.818681413,1.245079884,-3.151669987,0.36888736,2.314666253,-1.442699885,0.171546702,-0.159985604,-0.759901206,0.289951097,1.379271532,-2.587275704,-3.854202731,0.755675051,-1.596625598,-0.558613734,-1.205891094,-1.932104718,0.400461866,-0.302070878,-0.440209339,0.609642964,0.041301867,1.118781863,-0.558613734,2.152846913,-1.032231315,-2.342573287,0.337312855,1.718697464,1.714750651,-1.036178128,-1.087486699,-0.199453736,-0.696752195,-0.242868681,-2.441243616,-0.41652846,0.838558128,0.167599889,-1.742657685,-0.361273076,1.02800516,0.404408679,-1.782125817,-1.979466476,2.239676803,0.818824062,-1.782125817,-1.170369776,3.044826689,-3.933138995,-1.079593073,-1.024337689
Luminal_B,1.884017898,-0.687546697,0.182109694,0.652783941,-4.505930489,-0.425714665,0.874094348,-0.812228616,-0.341554369,-0.26362817,-1.653831575,0.967605788,1.97441229,-1.931248846,-2.87259734,0.577974789,0.319259805,-0.394544185,-0.846516144,-2.467381101,-0.771706992,-0.057903002,-0.135829202,1.335417451,0.615379365,0.752529476,-0.191936066,-0.101541674,0.802402244,-2.027877334,-1.114582272,-7.382965787,-0.282330457,0.288089325,-0.460002193,-0.522343153,0.447058773,-0.210638354,-1.554086039,1.83414513,-0.117126914,0.537453165,-1.139518656,-1.214327808,-0.114009866,0.861626156,1.983763434,0.961371692,-0.547279537,-0.765472897,0.225748366,-0.195053114,0.306791613,0.88656254,-1.145752752,-1.108348176
Luminal_A,-0.882066252,-0.695770046,-4.690390606,0.547398864,-0.960883877,0.060162634,-1.111353889,-1.183006276,0.3503548,0.715781972,0.275119794,-0.323177635,-0.735178859,-3.826979346,-5.435575428,0.497242193,-1.297650095,-1.082692934,0.02791906,-2.666210681,2.087925178,1.145696293,1.145696293,0.73011245,0.060162634,1.167192009,0.113901924,0.919991275,-1.233162947,-2.268539935,-1.036118883,0.02791906,1.16002677,-1.433789629,-1.666659886,-0.419908357,-4.138667229,1.249592254,-1.845790853,0.063745253,-1.018205786,0.773103882,-2.472749237,-1.254658663,2.335125913,-1.451702726,-0.989544832,-1.512607255,1.521871323,-1.172258418,-2.641132346,0.146145498,4.115687723,-0.419908357,-0.613369801,-0.498725983
HER2_enriched,-1.132857075,-0.882622341,2.694102388,0.292392931,-0.66502692,0.643265547,-0.912541711,1.045817076,-0.091118998,0.463749325,-0.023120429,-0.020400486,-0.624227779,1.663244082,-0.0149606,0.401190642,-1.799243051,1.410289406,0.626945891,2.209952577,-1.491889519,-3.812000693,-0.276075105,-0.16183751,-1.388531694,-0.841823199,0.792862399,0.939739308,-1.785643337,1.603405342,1.989637214,1.494607631,0.523588066,-6.782178187,-2.821941529,0.558947322,-0.866302684,-0.006800772,-0.101998769,-0.077519284,-5.18829173,0.580706864,2.490106681,1.407569463,-1.97603933,-2.188194866,0.550787494,-0.580708695,-1.317813182,0.798302285,1.067576618,-0.325034075,-0.088399055,-0.455591328,-3.246252599,-7.328886682
HER2_enriched,0.200569096,0.686398601,2.017931316,-0.447203576,3.101151174,0.326524894,-0.663127801,0.423690794,0.348117316,0.628818807,-0.879052025,-0.472394736,-1.37567774,3.853287222,-1.386473952,-0.933033081,-1.386473952,-1.134562357,0.758373342,-2.005456728,-2.019851676,0.160982988,0.304932471,0.351716053,0.546047855,0.124995618,0.157384251,-0.018953865,-1.354085318,1.855988148,2.147485851,0.463276902,2.118695954,-0.803478546,-0.522777055,0.873532928,1.625668976,0.499264273,-0.386025046,1.873981833,-2.081030206,-0.60194927,-0.072934921,-0.101724818,0.017033506,0.452480691,-2.045042835,-0.069336184,0.427289532,-1.224530783,3.083157489,-1.030198982,-1.951475672,-1.217333309,-0.27086546,0.236556467
Luminal_A,3.785228546,-0.453588478,2.640017782,3.477789415,-3.71628626,-0.315240869,0.637820439,-0.784085544,-0.749498642,-1.068466741,-1.083838697,0.084430002,0.683936308,-0.326769836,-2.259793375,0.703151254,0.142074839,-0.438216521,-0.703382772,-0.207637173,1.414104245,-0.568878152,-0.53429125,0.895300711,-0.142306357,1.563980822,-0.568878152,1.102822125,-0.126934401,-0.591936087,-0.918590164,-0.161521303,-2.901572562,-1.410492774,-0.795614512,0.334224296,-0.791771522,-2.025371037,-2.121445766,1.245012723,3.043531642,-1.16069848,-3.239755606,-0.073132553,3.554649198,-1.02619386,-1.045408806,-2.571075496,2.15580115,0.011413208,-0.784085544,0.557117667,-0.98392098,0.276579459,-1.471980601,-0.000115759
Luminal_A,-0.551824493,0.237226562,-1.63920934,-1.382698043,-1.463554865,0.488161526,1.157321432,-0.253490702,-0.217244541,0.198192234,0.995607788,0.663816002,-1.07042342,-2.860426167,-0.841793786,0.58295918,0.719579327,-0.858522783,-0.088988892,0.800436149,-3.013775312,1.346916739,1.413832729,1.056947446,1.277212582,-0.526730997,-1.508165525,2.359021096,0.390575707,-1.457978532,-0.685656474,0.962149793,-0.038801899,0.730731992,-0.300889529,1.017913118,-1.962636628,0.705638496,-1.207043568,-1.134551244,-2.227512423,-0.192151044,-1.536047188,-0.900345278,-4.151347152,-0.161481215,-0.891980779,-1.460766698,-4.485927105,-0.136387719,-2.071375112,1.129439769,0.01417326,-0.192151044,1.703802021,-2.771204847
Luminal_B,-1.444211634,-0.257500348,3.011160562,-1.069460702,-4.608775063,-0.265828147,-0.598940086,0.683540882,-0.440711915,1.566287523,0.337937244,-0.836282344,-0.220025255,5.800973058,-3.57196415,0.983341628,-0.41572852,0.454526423,0.050628196,-1.310966858,-0.407400721,0.800130061,0.437870826,0.100594987,0.662721386,-0.786315553,0.375412338,0.775146665,-0.361597829,0.687704781,0.958358232,1.353928661,-0.220025255,-1.090280198,-0.432384117,0.508657114,4.243674739,2.182544611,-1.306802959,1.204028288,-0.353270031,0.708524277,1.166553195,-2.447711353,-1.265163966,2.186708511,-0.669726374,-1.527489619,-0.41156462,-0.782151653,6.921061956,-1.29847516,-1.594112007,-0.723857064,-1.419228238,-1.065296802
Luminal_A,-1.229324842,-0.28841841,-4.005194024,-0.651506784,-6.79667991,-1.768101139,2.296146144,-1.018499334,0.168370189,-0.72568613,0.070765788,-0.304035115,-0.483627214,-2.529415471,-3.849026981,0.422141633,-1.014595158,-0.850619764,-0.788152947,-0.39773534,-1.838376308,-1.041924391,-1.045828567,0.629062965,0.020011499,-0.885757348,-0.503148094,-0.573423263,-0.811578003,-2.564553056,-1.502617166,0.101999196,-0.776440418,-0.710069425,-0.179101481,1.08975574,-2.138997865,-0.319651819,-2.21317721,-0.963840869,-1.572892335,-0.948224165,-0.561710735,-1.088774504,-0.335268523,-1.373779356,-4.996854744,1.269347839,0.168370189,-0.963840869,-1.748580258,-1.233229018,-0.358693579,-0.471914685,-3.774847636,0.531458563
Luminal_B,-0.307352327,-0.700921541,-2.655380901,0.584202422,-4.010115745,-0.200258664,-0.360899159,-0.162775881,0.163859792,0.624362546,-0.34483511,1.058091883,1.199990987,-1.038266581,-1.951240063,0.653813303,0.570815714,-0.703598882,-0.419800674,-2.020850944,0.046056763,0.723424185,0.59758913,-0.111906391,0.961707586,0.4797861,-0.093165,-0.146711832,2.428890777,-1.273872641,0.169214476,-3.239041367,-1.461286552,2.897425555,0.182601184,0.386079144,-0.184194614,0.287017506,-0.794628497,0.493172808,0.506559516,1.612301592,-1.455931869,-0.090487659,-0.767855081,-0.941882284,0.29504953,-0.545635729,-0.272546887,2.677883545,0.383401803,-0.157421198,-1.247099225,-0.259160179,-1.712956662,0.353951045
HER2_enriched,-0.875218872,1.555247167,4.365687474,0.151738609,-1.78921103,1.760638663,-0.495244604,1.425165886,0.069582011,-0.649288226,-0.697212909,-0.95737547,-1.600935492,3.886440649,-2.617623398,-1.210691649,-0.057076079,0.497480961,1.343009287,2.602743798,-2.165762107,-1.142227817,-1.097726326,-1.114842284,-0.395972047,-1.535894851,0.850069696,0.435863512,-0.89233483,0.826107355,-0.365163323,2.044763566,2.407621876,-1.097726326,-0.293276299,-0.693789717,2.489778475,-1.422929529,1.64767334,1.195812048,-6.910305669,-0.310392257,-0.207696509,2.558242307,-3.17560363,-0.573978011,-1.580396342,-2.816168511,-0.526053328,0.346860531,3.831669583,1.120501833,0.678910116,0.079851586,-2.295843388,-3.678812795
